0	75	40	3500	3500	216.00	0.01
49	60	57	4551	4551	3081.00	1.7
85	40	40	3500	3500	2788.00	0.32
170	75	40	3500	3500	368.00	0.17
0	75	40	3500	3500	474.00	0.23
49	90	57	2449	4551	326.00	0.17
121	60	57	4551	2449	635.00	0.41
121	60	57	4551	2449	1662.00	0.42
121	60	57	4551	2449	2086.00	0.59
49	60	57	4551	4551	1040.00	0.41
49	90	57	4551	2449	960.00	0.54
49	60	57	2449	2449	2645.00	1.77
170	75	40	3500	3500	98.00	0.1
85	75	40	6000	3500	627.00	9.72
85	75	80	3500	3500	3530.00	0.57
49	60	57	4551	4551	1288.00	0.36
85	75	40	3500	6000	833.00	9.36
49	60	23	2449	4551	1225.00	0.43
49	60	57	4551	4551	416.00	0.29
121	60	57	4551	2449	957.00	0.47
121	60	57	4551	2449	2779.00	1.18
49	90	23	2449	2449	154.00	0.09
121	90	57	2449	2449	319.00	0.15
85	40	40	3500	3500	319.00	0.23
49	60	57	4551	4551	1161.00	0.38
49	60	57	4551	4551	1722.00	0.43
49	60	57	4551	4551	2601.00	0.91
85	75	40	3500	3500	65.00	0.1
0	75	40	3500	3500	768.00	1.55
85	75	80	3500	3500	2618.00	0.42
49	60	23	2449	4551	1388.00	1.13
0	75	40	3500	3500	325.00	0.13
85	75	80	3500	3500	951.00	0.39
85	75	40	3500	3500	178.00	0.1
85	40	40	3500	3500	2528.00	0.31
85	75	40	6000	3500	379.00	0.19
85	40	40	3500	3500	3178.00	0.33
121	60	57	2449	4551	1604.00	0.43
85	75	40	3500	3500	75.00	0.09
121	60	23	2449	2449	428.00	0.14
85	40	40	3500	3500	5156.00	0.61
85	75	0	3500	3500	543.00	0.37
85	75	40	3500	3500	785.00	6.55
121	60	57	4551	2449	1898.00	0.5
49	60	57	4551	4551	3206.00	2.24
85	75	40	6000	3500	52.00	0.1
85	40	40	3500	3500	4945.00	0.54
85	75	40	3500	6000	325.00	0.15
0	75	40	3500	3500	888.00	12.22
85	75	0	3500	3500	245.00	0.08
85	75	40	1000	3500	262.00	0.14
85	75	40	1000	3500	85.00	0.1
170	75	40	3500	3500	531.00	0.26
85	40	40	3500	3500	3894.00	0.39
49	60	57	4551	4551	2708.00	1.04
49	60	57	4551	4551	1848.00	0.47
49	60	23	2449	4551	427.00	0.13
121	60	23	2449	2449	1553.00	0.66
85	75	0	3500	3500	4.00	0.05
85	40	40	3500	3500	1994.00	0.41
49	90	57	2449	4551	849.00	0.3
49	60	57	2449	2449	2676.00	2.04
85	40	40	3500	3500	2034.00	0.39
85	75	40	3500	1000	197.00	0.1
49	60	57	4551	4551	2749.00	1.09
49	90	57	2449	4551	1076.00	0.6
85	75	40	6000	3500	169.00	0.1
85	40	40	3500	3500	5816.00	1.04
